City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,porbandar,21.6422,69.6093,26.44,69,53,4.81,IN,1714269161
170,mtskheta,41.8451,44.7188,14.05,61,19,0.83,GE,1714269161
171,yemetsk,63.4721,41.7941,0.64,96,100,2.67,RU,1714268864
172,saint-lys,43.5167,1.2,9.61,85,100,3.09,FR,1714269162
173,severnoye,56.3491,78.3619,10.55,55,100,5.36,RU,1714269162
174,fada,9.5667,8.3,25.41,61,100,0.81,NG,1714269162
175,luderitz,-26.6481,15.1594,18.22,63,85,3.43,NA,1714269162
176,badger,64.8,-147.5333,14.95,34,0,7.72,US,1714269162
177,oak grove,45.4168,-122.6401,12.75,81,100,5.14,US,1714269162
178,rongelap,11.1635,166.8941,27.59,76,100,8.38,MH,1714269162
179,siavonga,-16.5382,28.7088,20.32,62,43,2.12,ZM,1714268961
180,cardigan,52.0847,-4.6591,6.88,84,100,3.55,GB,1714269162
181,rio de janeiro,-22.9028,-43.2075,25.98,83,0,2.57,BR,1714269079
182,enewetak,11.3474,162.3373,27.62,76,100,7.29,MH,1714269162
183,san mariano,7.5,126.0,30.68,58,100,2.43,PH,1714269162
184,hermanus,-34.4187,19.2345,18.78,72,1,2.2,ZA,1714269162
185,federal,-30.9547,-58.7833,11.88,81,99,3.62,AR,1714269162
186,ivdel',60.6911,60.4206,11.77,97,100,2.24,RU,1714269162
187,georgetown,5.4112,100.3354,30.96,74,20,1.03,MY,1714269045
188,mandalgovi,45.7625,106.2708,1.34,51,100,6.48,MN,1714269163
189,centerville,39.6284,-84.1594,22.92,53,40,4.63,US,1714268947
190,tura,25.5198,90.2201,30.01,57,9,3.22,IN,1714269163
191,punta arenas,-53.15,-70.9167,3.06,87,75,10.29,CL,1714268939
192,nyagan,62.1406,65.3936,4.17,100,100,2.86,RU,1714269163
193,bel ombre,-4.6167,55.4167,26.91,89,20,1.03,SC,1714269163
194,okha,53.5739,142.9478,1.25,61,5,4.47,RU,1714269163
195,kiama,-34.6833,150.8667,24.76,62,76,2.68,AU,1714269163
196,nea ionia,38.0373,23.7595,16.73,65,20,2.06,GR,1714269163
197,antonio enes,-16.2325,39.9086,24.86,71,29,6.12,MZ,1714269163
198,uturoa,-16.7333,-151.4333,28.33,76,46,10.05,PF,1714269163
199,lodeynoye pole,60.726,33.5531,3.32,85,3,1.78,RU,1714269163
200,nouadhibou,20.931,-17.0347,18.99,72,93,8.23,MR,1714269163
201,carnarvon,-24.8667,113.6333,27.04,57,2,3.02,AU,1714269163
202,gadzhiyevo,69.2551,33.3362,-2.54,87,100,2.47,RU,1714269163
203,broken hill,-31.95,141.4333,21.03,27,0,2.95,AU,1714269163
204,kanniyakumari,8.0833,77.5667,29.55,73,91,1.75,IN,1714269164
205,port elizabeth,-33.918,25.5701,17.16,88,0,6.69,ZA,1714269164
206,sur,22.5667,59.5289,27.19,65,0,5.25,OM,1714269164
207,bandarbeyla,9.4942,50.8122,27.67,72,41,0.43,SO,1714269164
208,fort mcmurray,56.7268,-111.381,8.77,46,100,3.09,CA,1714269164
209,sitka,57.0531,-135.33,10.94,58,100,5.14,US,1714269164
210,nemuro,43.3236,145.575,5.58,96,92,2.67,JP,1714269164
211,phek,25.6667,94.5,24.81,43,100,0.91,IN,1714269164
212,balboa,2.0396,-77.2168,17.2,97,100,0.38,CO,1714269164
213,copalnic manastur,47.5,23.6833,8.12,76,6,2.35,RO,1714269164
214,samitah,16.596,42.9444,30.74,65,58,0.32,SA,1714269164
215,sabana grande de boya,18.945,-69.7933,23.22,98,99,2.01,DO,1714269164
216,shahrud,36.4182,54.9763,11.2,51,0,2.28,IR,1714269164
217,masterton,-40.9597,175.6575,16.05,39,0,2.54,NZ,1714269164
218,crane,31.3974,-102.3501,24.31,17,17,13.84,US,1714269164
219,tayoltita,24.0833,-105.9333,21.91,30,100,1.06,MX,1714269164
220,klyuchi,52.2667,79.1667,10.82,37,57,2.81,RU,1714269164
221,nova vicosa,-17.8919,-39.3719,25.08,71,0,1.85,BR,1714269088
222,nouna,12.7333,-3.8667,32.37,41,29,5.3,BF,1714269165
223,oranjemund,-28.55,16.4333,15.01,89,41,1.83,NA,1714269165
224,pyu,18.4833,96.4333,33.58,54,0,3.53,MM,1714269165
225,novo milosevo,45.7217,20.3031,8.31,79,0,3.58,RS,1714269165
226,lake havasu city,34.4839,-114.3224,28.46,17,2,2.57,US,1714269165
227,nuuk,64.1835,-51.7216,0.34,86,100,2.06,GL,1714268991
228,nicoya,10.1483,-85.452,27.08,79,100,0.94,CR,1714269165
229,bansi,27.1833,82.9333,32.52,16,2,5.61,IN,1714269165
230,wuchang,44.9143,127.15,11.84,30,100,5.15,CN,1714269165
231,natchez,31.5604,-91.4032,24.69,69,0,6.17,US,1714269165
